country,arableague,normpolity,countrycode,countrycode_qog,islam1100,half1900,africa,americas,asia,europe,oceania,fuelendowed,pmuslim,muslimmajority,womeninparl,alcohol,cereal,religiosity,noyouth2010,unemp2010,thriving2010,fertility,fertilitydif,normfreedom,mecca,desert,govtexp,tradeunions,accesstocredit,lrain
Serbia,0,.89999998,SRB,SRB,0,0,0,0,0,1,0,0,.032000002,0,.22,11.09,,,,,,1.4,,.83333331,.30591351,,44.533028,.045558084,.77777779,
Macedonia,0,.94999999,MKD,MKD,0,1,0,0,0,1,0,0,.333,0,.33000001,,.23874053,,,,,1.4,-.538996501,.66666669,.28093421,0,35.766991,.097087376,.66666669,6.4281054
Croatia,0,.94999999,HRV,HRV,0,0,0,0,0,1,0,0,.0099999998,0,.23999999,15.11,.52624166,,,,,1.5,-.287682072,.91666669,.33833373,.001,42.087227,.031152649,.55555558,7.0148144
Montenegro,0,.94999999,MON,MNE,0,0,0,0,0,1,0,0,.177,0,.11,,,,,,,1.7,-.302280872,.75,.30448705,,45.238094,.23809525,1,5.8464389
Slovenia,0,1,SVN,SVN,0,0,0,0,0,1,0,0,.024,0,.14,15.19,.43013972,.3799009200283081,,,,1.6,-.271933715,1,.3555063,0,46.183205,0,.33333334,7.057898
Greece,0,1,GRC,GRC,0,0,0,0,0,1,0,0,.029999999,0,.17,10.75,.32651213,.4969793887704328,,,,2.4000001,,.91666669,.25315732,.0049999999,49.519234,.0032051282,.33333334,6.4800444
Cyprus,0,1,CYP,CYP,0,0,0,0,1,0,0,0,.22700001,0,.13,9.2600002,,.6208705515383537,,,,1.5,-.470003629,1,.16409989,,49.18288,.11673152,.8888889,6.2105999
Bulgaria,0,.94999999,BGR,BGR,0,0,0,0,0,1,0,0,.122,0,.20999999,12.44,.60893553,.3098541444325857,,,,1.5,-.336472237,.83333331,.27278391,0,38.10313,.036832415,.77777779,6.4101748
Moldova,0,.89999998,MDA,MDA,0,0,0,0,0,1,0,0,.0049999999,0,.23999999,,.54338038,.5602853745540954,,,,1.5,-.510825624,.58333331,.30355412,0,39.152779,.1388889,.77777779,6.1092477
Romania,0,.94999999,ROM,ROU,0,0,0,0,0,1,0,0,.003,0,.11,15.3,.54270333,.6755037115588454,,,,1.4,-.538996501,.83333331,.30267307,0,36.098217,.021586616,.8888889,6.4567695
Russia,0,.69999999,RUS,RUS,3.4192659e-08,0,0,0,0,1,0,0,.117,0,.14,15.76,.10868227,.3215054902376176,,,,1.5,-.236388778,.25,.62134808,.0040000002,19.95756,.0015915119,.22222222,6.1312265
Estonia,0,.94999999,EST,EST,0,0,0,0,0,1,0,0,.001,0,.23,15.57,.39750722,.2278312852872813,,,,1.6,-.223143551,1,.42920154,.26700002,39.671112,.044444446,.66666669,6.4393506
Latvia,0,.89999998,LVA,LVA,0,0,0,0,0,1,0,0,.0099999998,0,.22,12.5,.76207769,.3380035026269701,,,,1.8,-.823200309,.91666669,.41187707,0,40.693432,.036496352,1,6.4630294
Lithuania,0,1,LTU,LTU,0,0,0,0,0,1,0,0,.001,0,.23999999,15.03,.74383628,.3935316336166182,,,,1.6,-.223143551,1,.3991504,0,38.287037,.06944444,,6.4861608
Ukraine,0,.80000001,UKR,UKR,0,0,0,0,0,1,0,0,.0099999998,0,.079999998,15.6,.61580855,.3561399598841092,,,,1.4,-.356674944,.75,.3151204,.001,30.908533,.018416207,.8888889,6.3368258
Belarus,0,.15000001,BLR,BLR,0,0,0,0,0,1,0,0,0,0,.34999999,15.13,.68610233,.3621108412453098,,,,1.4,-.356674944,.083333336,.37022004,0,34.644714,.017331023,.22222222,6.4264884
Armenia,0,.75,ARM,ARM,1,0,0,0,1,0,0,0,0,0,.090000004,11.35,.058249157,.5503986107822204,,,,1.7,-.344840486,.33333334,.21467029,.001,25.039217,0,.55555558,6.331502
Georgia,0,.80000001,GEO,GEO,1,0,0,0,1,0,0,0,.098999999,0,.07,6.4000001,.25196064,.646596654998048,,,,1.6,-.362905494,.5,.23267561,.014,31.949276,.072463766,.66666669,6.933423
Azerbaijan,0,.15000001,AZE,AZE,.87802798,1,0,0,1,0,0,0,.99199998,1,.11,10.6,.16966581,.4511111111111119,,,,2.3,-.361013346,.25,.22156413,.11,30.014599,.01459854,.55555558,6.1025586
Finland,0,1,FIN,FIN,0,0,0,0,0,1,0,0,.0049999999,0,.40000001,12.52,.15602516,.3518518518518497,,,,1.9,.171850257,1,.48889992,0,54.065044,.011086474,.77777779,6.2841344
Sweden,0,1,SWE,SWE,0,0,0,0,0,1,0,0,.02,0,.44999999,10.3,.13832904,.2518471156578528,,,,2,.162518929,1,.49158219,.001,50.664799,.0052484255,.66666669,6.4361506
Norway,0,1,NOR,NOR,0,0,0,0,0,1,0,1,.0099999998,0,.40000001,7.8099999,.0084884306,.2860696517412955,,,,2,.162518929,1,.38119152,.0099999998,45.754223,.006259128,.66666669,7.254178
Denmark,0,1,DNK,DNK,0,0,0,0,0,1,0,0,.02,0,.38,13.37,.55149728,.2928282613321948,,,,1.9,.236388778,1,.45540041,0,56.545403,.0085935257,.8888889,6.555357
Cape Verde,0,1,CPV,CPV,0,0,1,0,0,0,0,0,.0099999998,0,.18000001,4.96,,,,,,2.4000001,-.980829253,1,.67111325,,47.115791,1.0526316,.11111111,5.4293456
Guinea-Bissau,0,.80000001,GNB,GNB,0,1,1,0,0,0,0,0,.42200002,0,.1,3.6800001,.32086673,,,,,2.3,-.448024723,.5,.59050786,.0020000001,19.65,1,.22222222,7.3632798
Equatorial Guinea,0,.25,GNQ,GNQ,0,0,1,0,0,0,0,0,.039999999,0,.1,6.0799999,.16299888,,,,,5.1999998,-.091807549,0,.38686606,.58099997,47.268044,0,.22222222,7.6760101
Gambia,0,.25,GMB,GMB,0,1,1,0,0,0,0,0,.94999999,1,.079999998,3.3900001,.45512819,,,,,4.9000001,-.251314428,.33333334,.59021378,.0040000002,18.309092,.90909088,.44444445,6.7286286
Mali,0,.85000002,MLI,MLI,.80214202,1,1,0,0,0,0,0,.92500001,1,.1,1.04,.14153558,.8182302771854993,,,,6.3000002,-.105360516,.75,.45610279,.62599999,23.709091,.18181819,.22222222,5.6419072
Senegal,0,.85000002,SEN,SEN,.122132,1,1,0,0,0,0,0,.95999998,1,.23,.60000002,.44449002,.849719200966813,,,,4.8000002,-.432864082,.66666669,.57782221,.122,29.503403,.34013605,.22222222,6.5308776
Benin,0,.85000002,BEN,BEN,0,1,1,0,0,0,0,0,.244,0,.11,2.1500001,.74843085,.7562189054726389,,,,5.3000002,-.278203328,.83333331,.4212473,.001,22.733334,.53333336,.22222222,6.9460139
Mauritania,1,.40000001,MRT,MRT,.92223799,1,1,0,0,0,0,0,.991,1,.22,.11,.0045313891,.8223052294557093,.60611111,.12260536,.13347802,4.5,-.352220594,.16666667,.51981258,.917,36.599998,.75,.22222222,4.5217886
Niger,0,.64999998,NER,NER,.72131401,1,1,0,0,0,0,0,.986,1,,.34,.043947771,.870892018779354,,,,7.0999999,-.081125545,.41666666,.32198936,.73699999,21.015385,.46153846,.22222222,5.0172796
Ivory Coast,0,.5,CIV,CIV,0,0,1,0,0,0,0,0,.36700001,0,.090000004,6.48,.64823657,.7786069651741279,,,,4.4000001,-.546543706,.25,.51009488,.0020000001,22.218487,.084033616,.22222222,7.2063775
Guinea,0,.75,GIN,GIN,0,1,1,0,0,0,0,0,.84400004,1,,.75999999,.34688237,.859480611881893,,,,5.0999999,-.211309094,.083333336,.55445087,.001,26.413044,.65217394,.22222222,7.4091363
Burkina Faso,0,.5,BFA,BFA,0,1,1,0,0,0,0,0,.58999997,1,.15000001,6.98,.61964816,.7938327557095861,,,,5.9000001,-.185142433,.5,.45284793,.017999999,27.415842,.39603958,.22222222,6.617403
Liberia,0,.80000001,LBR,LBR,0,0,1,0,0,0,0,0,.122,0,.13,5.0599999,.24356636,.8796065884583425,,,,2.5999999,-1.045968555,.58333331,.55340171,0,35.941666,0,.33333334,7.7794671
Sierra Leone,0,.85000002,SLE,SLE,0,0,1,0,0,0,0,0,.71300006,1,.13,9.7200003,.43370819,.9046730632551561,,,,5,-.113328685,.66666669,.57030493,.001,26.680952,.95238101,.66666669,7.8343921
Ghana,0,.89999998,GHA,GHA,0,0,1,0,0,0,0,0,.15899999,0,.079999998,2.97,.64678878,.8681310869410764,,,,4.1999998,-.436717652,.91666669,.46449119,.0080000004,24.432642,.051813472,.77777779,7.0791845
Togo,0,.40000001,TGO,TGO,0,0,1,0,0,0,0,0,.122,0,.11,1.99,.63059443,.709711846318039,,,,4.0999999,-.563094052,.41666666,.43988833,.001,24.933334,.83333337,.22222222,7.0630484
Cameroon,0,.30000001,CMR,CMR,0,0,1,0,0,0,0,0,.17899999,0,.14,7.5700002,.54721874,.7967713249880375,,,,4.5,-.352220594,.16666667,.33980164,.0040000002,19.337208,.07751938,.22222222,7.3802557
Nigeria,0,.69999999,NGA,NGA,0,0,1,0,0,0,0,0,.50400001,1,.07,12.28,.55797255,.8986990829601283,,,,5.5,-.21217452,.41666666,.36354756,.0060000001,13.213274,.0080938889,.8888889,7.0475173
Gabon,0,.64999998,GAB,GAB,0,0,1,0,0,0,0,0,.094999999,0,.15000001,9.3199997,.3556596,,,,,3.3,-.454736157,.25,.39000213,.0049999999,26.904192,.11976048,.22222222,7.5126176
Central African Republic,0,.44999999,CAF,CAF,0,0,1,0,0,0,0,0,.088999994,0,.1,3.3499999,.6199137,.8941009239516705,,,,,,.33333334,.26518634,0,15.547826,.86956525,.22222222,7.202661
Chad,0,.40000001,TCD,TCD,.62849802,1,1,0,0,0,0,0,.55799997,1,.050000001,4.3800001,.1866094,.7805519988618635,,,,4.5999999,-.265703166,.083333336,.23310207,.537,39.59375,.20833333,.22222222,5.7745514
Congo Brazzaville,0,.30000001,COG,COG,0,0,1,0,0,0,0,0,.014,0,.07,4.1999998,.21480533,.8224831020988971,,,,4.5,-.320471895,.25,.36358452,.0049999999,20.887417,.1986755,.22222222,7.4061036
Congo Kinshasa,0,.75,ZAR,COD,0,0,1,0,0,0,0,0,.016000001,0,.079999998,3.3,.29440185,.8631840796019904,,,,5.8000002,-.129211731,.16666667,.32138059,.0060000001,34.69281,.19607843,.22222222,7.3414841
Uganda,0,.44999999,UGA,UGA,0,0,1,0,0,0,0,0,.12100001,0,.31999999,11.93,.379289,.840233319106567,,,,6.0999999,-.151806013,.41666666,.23701771,.0069999998,21.025,.0625,.66666669,7.0732698
Kenya,0,.89999998,KEN,KEN,.160248,0,1,0,0,0,0,0,.07,0,.1,4.1399999,.19954576,.8551098869570359,,,,,,.5,.23215587,.221,25.235456,.027700832,1,6.4457197
Tanzania,0,.44999999,TZA,TZA,.20071299,0,1,0,0,0,0,0,.30200002,0,.31,6.75,.49645594,.8600373233804325,,,,5.5,-.197359434,.58333331,.31118834,.0040000002,27.556034,.086206891,.77777779,6.9763479
Burundi,0,.80000001,BDI,BDI,0,0,1,0,0,0,0,0,.02,0,.31999999,9.4700003,.15346359,.8757333333333327,,,,4.3000002,-.443492504,.41666666,.29474133,.0040000002,32.888237,1.1764705,.22222222,7.1499166
Rwanda,0,.30000001,RWA,RWA,0,0,1,0,0,0,0,0,.017999999,0,.56,9.8000002,.034285713,.8398782343987772,,,,5.4000001,-.429856561,.25,.28065032,.0099999998,28.25,.33333334,.77777779,7.1000271
Somalia,1,.5,SOM,SOM,.84489602,1,1,0,0,0,0,0,.98500001,1,.07,.5,.011389027,.9429637526652432,.50862998,.12071331,.12473348,6.3000002,-.076372979,0,.18205401,.72199994,,0,,5.6419072
Djibouti,1,.60000002,DJI,DJI,0,1,1,0,0,0,0,0,.96900004,1,.14,1.87,0,.8863393810032004,.30549452,.24819277,.18967453,3.8,-.56710646,.33333334,.11107278,.93199998,43.938461,.76923078,0,5.3936276
