country,arableague,normpolity,countrycode,countrycode_qog,islam1100,half1900,africa,americas,asia,europe,oceania,fuelendowed,pmuslim,muslimmajority,womeninparl,alcohol,cereal,religiosity,noyouth2010,unemp2010,thriving2010,fertility,fertilitydif,normfreedom,mecca,desert,govtexp,tradeunions,accesstocredit,lrain
Uzbekistan,0,.050000001,UZB,UZB,.89597601,1,0,0,1,0,0,0,.96300006,1,.22,3.54,.055998564,.4560966939210822,,,,2.5,-.712949808,0,.31403762,.58399999,34.485126,0,.11111111,5.3278761
Kazakhstan,0,.2,KAZ,KAZ,.027248001,0,0,0,1,0,0,0,.56400001,1,.18000001,10.96,.011199414,.4402530644523531,,,,4.6999998,-.467340512,.25,.38468853,.20899999,23.73126,0,.33333334,5.521461
China,0,.15000001,CHN,CHN,.00062599999,0,0,0,1,0,0,0,.016000001,0,.20999999,5.9099998,.10289332,,,,,1.6,-.485507816,.083333336,.63438922,.303,24.052082,0,.55555558,6.4692502
Mongolia,0,1,MNG,MNG,0,0,0,0,1,0,0,0,.050000001,0,.039999999,3.24,.000096711803,.3932444444444444,,,,2.5,-.90825856,.83333331,.62828314,.38499999,37.511364,.11363636,.55555558,5.484797
Taiwan,0,1,TWN,TWN,0,0,0,0,1,0,0,0,.0099999998,0,,,,.4401041666666642,,,,,,.91666669,.82229167,,18.129211,.0019817678,,
Korea North,0,.050000001,PRK,PRK,0,0,0,0,1,0,0,0,0,0,.16,,.15792012,,,,,1.2,-.84729786,0,.82913226,0,11.785714,0,,6.9603477
Korea South,0,.89999998,KOR,KOR,0,0,0,0,1,0,0,0,.001,0,.15000001,14.8,.21941146,.4020776685491183,,,,2.3,,.91666669,.84608328,.001,20.790377,.0017182131,.77777779,7.1499166
Japan,0,1,JPN,JPN,0,0,0,0,1,0,0,0,.001,0,.11,8.0299997,.23618807,.2517402545743849,,,,3.8,-.639079959,.91666669,.92712146,.003,42.408199,.0001707942,.66666669,7.4193807
India,0,.94999999,IND,IND,.161727,0,0,0,1,0,0,0,.134,0,.11,2.5899999,.46375513,.7998313235716574,,,,2.0999999,-.739667196,.75,.4096249,.098999999,16.885513,.0016277808,.77777779,6.9874902
Bhutan,0,.64999998,BTN,BTN,0,0,0,0,1,0,0,0,.0099999998,0,.090000004,.55000001,.0022299311,,,,,2.4000001,-1.011600912,.41666666,.51418549,.109,41.808743,0,.22222222,7.6962128
Pakistan,0,.80000001,PAK,PAK,.85323697,1,0,0,1,0,0,0,.96300006,1,.22,.059999999,.049519707,.758498638661998,,,,3.4000001,-.648026745,.41666666,.31047723,.63999999,19.89221,.0097991182,.55555558,6.2025356
Bangladesh,0,.75,BGD,BGD,0,1,0,0,1,0,0,0,.89599997,1,.19,.17,.46754268,.9129226807616827,,,,2.2,-1.06784063,.58333331,.51662266,.0099999998,14.913043,.052173913,.66666669,7.8883343
Myanmar (Burma),0,.2,MMR,MMR,0,0,0,0,1,0,0,0,.0099999998,0,,.56999999,.25324109,,,,,2,-.832909123,0,.58483511,.003,8.5099602,0,,7.6453977
Sri Lanka,0,.69999999,LKA,LKA,0,0,0,0,1,0,0,0,.085000001,0,.050000001,.79000002,.35975054,.8930374545027504,,,,2.3,-.390866309,.5,.46470517,.001,21.989796,.068027213,.33333334,7.4454174
Nepal,0,.80000001,NPL,NPL,.208988,0,0,0,1,0,0,0,.041999999,0,.33000001,2.4100001,.088081494,.7583439852293777,,,,2.7,-.764606145,.5,.44991887,.153,28.961748,.10928962,.66666669,7.3132205
Thailand,0,.69999999,THA,THA,0,0,0,0,1,0,0,0,.058000002,0,.13,7.0799999,.37999728,.8269655620532957,,,,1.6,-.753771802,.41666666,.64709496,.0020000001,22.094873,.011785504,.44444445,7.3914151
Cambodia,0,.60000002,KHM,KHM,0,0,0,0,1,0,0,0,.016000001,0,.20999999,4.77,.50579768,.6460014154281657,,,,2.5999999,-.819440906,.25,.69524848,.0040000002,19.265152,0,.77777779,7.551712
Laos,0,.15000001,LAO,LAO,0,0,0,0,1,0,0,0,0,0,.25,6.73,.17064476,.8084904541681397,,,,1.2,-.459532329,.083333336,.66548759,0,20.177216,0,.33333334,7.5142546
Vietnam,0,.15000001,VNM,VNM,0,0,0,0,1,0,0,0,.0020000001,0,.25999999,3.77,.18891318,.3852631578947404,,,,1.8,-1.098612289,.16666667,.69683939,.0060000001,32.220394,0,.77777779,7.5071411
Malaysia,0,.80000001,MYS,MYS,0,1,0,0,1,0,0,0,.60400003,1,.1,.81999999,.020386299,.800690075096415,,,,2.5999999,-.379489622,.5,.77807534,.001,30.472534,.0040387721,1,7.9638081
Singapore,0,.40000001,SGP,SGP,0,0,0,0,1,0,0,0,.14899999,0,.23,1.55,,.5941235686422557,,,,1.2,-.348306694,.41666666,.72743106,,14.454034,.0037523452,1,7.8228455
Philippines,0,.89999998,PHL,PHL,0,0,0,0,1,0,0,0,.050999999,0,.20999999,6.3800001,.19958405,.8355546442485268,,,,3.0999999,-.5172565139999999,.58333331,.88373786,0,16.987505,.0092549743,.33333334,7.7613192
Indonesia,0,.89999998,IDN,IDN,0,1,0,0,1,0,0,0,.88199997,1,.18000001,.58999997,.064681321,.8775887086136521,,,,1.7,-1.341173926,.75,.88221657,0,17.271965,.0023972192,.22222222,7.9017477
Australia,0,1,AUS,AUS,0,0,0,0,0,0,1,0,.017000001,0,.25,10.02,.1092978,.3935692661029301,,,,1.9,0,1,1.1466087,.27000001,33.583279,.00066357001,.8888889,6.280396
Papua New Guinea,0,.69999999,PNG,PNG,0,0,0,0,0,0,1,0,0,0,.0099999998,3.49,.042466987,,,,,4,-.354171814,.58333331,1.1873051,0,36.412281,0,.44444445,8.0526152
New Zealand,0,1,NZL,NZL,0,0,0,0,0,0,1,0,.0089999996,0,.34,9.6199999,.13397452,.4113924050632891,,,,2.2,.09531018,1,1.5015768,0,44.614929,.011848341,1,7.4570322
Solomon Islands,0,.89999998,SLB,SLB,0,0,0,0,0,0,1,0,0,0,,1.66,.0039257668,,,,,4.1999998,-.467023001,.58333331,1.3457195,0,27.050001,0,.8888889,8.0156574
Fiji,0,.30000001,FJI,FJI,0,0,0,0,0,0,1,0,.063000001,0,,2.4300001,0,,,,,2.7,-.36772478,.33333334,1.5007755,0,28.523529,.29411763,.66666669,7.8601851
